ProgramNameEN,FiscalYear,AwardAmount
Collaborative Research Opportunities Grants,2003,4705596
Subatomic Physics Envelope - Individual,2008,4629485
Collaborative Health Research Projects,2002,4591546
Collaborative Health Research Projects,2001,4552053
Industrial Research Fellowships,2009,4550608
Canadian Microelectronics Corporation,1996,4500000
Collaborative Health Research Projects,2003,4487134
Collaborative Health Research Projects,2005,4457250
Special Research Opportunity Program - Project,2009,4454101
Industrial Research Fellowships,2005,4421906
Industrial Postgraduate Scholarships,2011,4418101
Subatomic Physics Envelope - Individual,2015,4417176
Subatomic Physics Envelope - Research Tools and Instruments,2005,4387447
University Faculty Award,2005,4385302
Industrial Research Fellowships,2004,4381056
Climate Change and Atmospheric Research,2012,4373568
Subatomic Physics Envelope - Individual,2007,4367000
Subatomic Physics Envelope - Research Tools and Instruments,1999,4343678
Technology Access Centre,2013,4325454
"Research Tools and Instruments - Category 3 (>$325,000)",1995,4320229
University Faculty Award,2006,4284570
Industrial Research Chairs for Colleges Grants,2014,4278755
Industrial Research Chairs for Colleges Grants,2015,4276714
University Faculty Award,2008,4273224
Industrial R&D Internships,2008,4260000
Thematic Resources Support in Mathematics and Statistics            ,2016,4212500
Industrial Postgraduate Scholarships,2002,4210150
Industrial Research Fellowships,2003,4205313
Industrial Postgraduate Scholarships,2012,4170000
Industrial Research Chairs for Colleges Grants,2012,4165259
Subatomic Physics Envelope - Individual,2009,4151265
Industrial Research Fellowships,2006,4145652
Applied Research and Development Grants - Level 1,2013,4115459
Subatomic Physics Envelope - Individual,2005,4109840
Intellectual Property Mobilization - Infrastructure,2008,4108530
"Research Tools and Instruments - Category 2 ($150,000 - $325,000)",1995,4102132
Subatomic Physics Envelope - Individual,2016,4101967
Canadian Microelectronics Corporation,1995,4100000
Subatomic Physics Envelope - Individual,2013,4087448
Collaborative Special Project Grants,1995,4082518
Industrial Research Fellowships,2010,4078830
"Research Tools and Instruments - Category 3 (>$325,000)",1996,4072566
Subatomic Physics Envelope - Individual,2012,4069500
Subatomic Physics Envelope - Individual,2011,4069500
Industrial Postgraduate Scholarships,2010,4067444
Industrially Oriented Research Grants,1999,4045200
University Faculty Award,2007,4037854
Industrial Postgraduate Scholarships,2009,4021834
Subatomic Physics Envelope - Individual,2014,4021700
Industrial Postgraduate Scholarships,2013,4021089
Subatomic Physics Envelope - Individual,2010,4009641
Subatomic Physics Envelope - Research Tools and Instruments,2000,4003000
Discovery Grants Program - Institutes and Initiatives,2005,4002957
Discovery Grants Program - Institutes and Initiatives,2004,4002957
Discovery Grants Program - Institutes and Initiatives,2006,4002957
Discovery Grants Program - Institutes and Initiatives,2003,4002957
Industrial Research Chairs for Colleges Grants,2016,3990499
Subatomic Physics Envelope - Individual,2006,3988565
University Faculty Award,2004,3977202
Industrial Postgraduate Scholarships,2001,3959450
Applied Research and Development Grants - Level 2,2014,3928681
Genomics Projects,2000,3921834
"Research Tools and Instruments - Category 3 (>$325,000)",1999,3918945
"Research Tools and Instruments - Category 3 (>$325,000)",2000,3917524
University Research Fellowships (H),1995,3898906
Industrial Undergraduate Student Research Awards,2011,3897157
Postgraduate Scholarships - Master's,2012,3893891
Collaborative Special Project Grants,1998,3882106
Industrial Undergraduate Student Research Awards,2010,3869363
University Faculty Award,2003,3806318
Industrial Undergraduate Student Research Awards Program,2012,3784725
Subatomic Physics Envelope - Research Tools and Instruments,2006,3772076
Subatomic Physics Envelope - Individual,2004,3740749
Industrial Research Fellowships,2002,3726614
Subatomic Physics Envelope - Research Tools and Instruments,2007,3705849
Industrial Research Fellowships,2008,3703503
Industrial Research Fellowships,2007,3662225
National Research Council / NSERC Research Partnership,1997,3646530
Major Facilities Access Grants,1998,3638500
Industrial Postgraduate Scholarships,2014,3638032
Industrial Undergraduate Student Research Awards,2004,3631608
Industrial R&D Fellowships (IRDF),2011,3613703
Industrial Undergraduate Student Research Awards,2005,3582025
Intellectual Property Mobilization - Infrastructure,2007,3552970
Thematic Resources Support in Mathematics and Statistics            ,2015,3531500
Industrial Research Chairs for Colleges Grants,2013,3500500
Intellectual Property Mobilization - Infrastructure,1998,3498068
Genomics Projects,2001,3490465
Major Facilities Access Grants,1997,3486500
Subatomic Physics Envelope - Research Tools and Instruments,2004,3475559
"Research Tools and Instruments - Category 3 (>$325,000)",2001,3457114
Major Facilities Access Grants,1996,3436500
PromoScience,2014,3424975
Industrial Undergraduate Student Research Awards,2007,3424718
PromoScience,2015,3424100
Industrial Postgraduate Scholarships,2015,3370050
Industrial Undergraduate Student Research Awards,2008,3367639
